speaker_name,P(narrative)
Amphimedon,0.37008192867506295
Nestor,0.23951024963025702
Athena-maiden,0.19272845691496818
Eurylochus,0.17399492058861402
Medon,0.14767180180150227
Menelaus,0.11182544539968314
Helena,0.1102909044021982
Odysseus-beggar,0.1081846275579322
Agamemnon,0.10707557693814111
Euryclea,0.09529592619626782
Heracles,0.0837362325151584
someone,0.08247067432967015
Laertes,0.06876197580519754
Eumaeus,0.06860171109014826
Theoclymenus,0.06246301340521313
Calypso,0.061187517301615084
Nausicaa,0.05941200669252476
Amphinomus,0.05844607071006013
Antinous,0.050561667227575685
Penelope,0.04906648808809438
Halitherses,0.045525255443001365
Odysseus,0.04205069699269694
Odysseus-Cretan,0.041397350400075084
Circe,0.03819955646950793
Zeus,0.034887383800898016
Anticlea,0.03286950130132027
Hermes,0.03234636194538325
Athena-Mentes,0.022560554492401377
Telemachus,0.022488808180156777
Alcinous,0.020668568090158736
Athena,0.017312729777896184
Poseidon,0.016204136494228517
Melanthius,0.016071056231157854
Eurymachus,0.014316587754310052
Aegyptius,0.012736305776343215
Philoetius,0.012080398175856788
woman,0.010055658135873577
Odysseus-stranger,0.009438876534907402
Athena-young shepherd,0.008269626378831971
Teiresias,0.008242371352112275
Autolycus,0.006760228367056698
suitor of Penelope,0.006143353621313429
Mentor,0.005068107382006322
Athena-Mentor,0.004076109362513501
dream-Iphthime,0.003451847704127431
god,0.003268030957163622
companions of Odysseus,0.002446884444604317
Noemon,0.0023578489358028905
Leocritus,0.0019407896761549637
Melantho,0.0019094687195320148
Irus,0.0018894353961513843
Leodes,0.0017459867861665164
Athena-companion of Nausicaa,0.0015671306723056154
Agelaus,0.0015399427890467148
Peisistratus,0.0014683171426315375
Eupithes,0.0014470679993142507
Athena-herald,0.0013556152116507292
siren,0.0012476815512248625
Polyphemus,0.0011939817593277743
Polites,0.0008650847157696262
Athena-man,0.0007693281416626027
Apollo,0.0007412186823785305
sons of Aeolus,0.0007022174540907145
Ares,0.0006643201340921223
Ino,0.0006186263261562479
Hephaestus,0.0006180521071655676
Achilles,0.0005986979148084563
Laodamas,0.0005520718760736701
Eurynome (slave of Penelope),0.0005407182325143367
Euryalus (Phaeacian),0.0004993498645490035
Arete,0.00047595295796377794
Odysseus-Nobody,0.0004642708081519231
Aeolus,0.00045254442375153303
Peiraeus,0.0004500341019593179
Hermes-young man,0.0004470493544691375
Dolius,0.0004464102239580825
Etoneus,0.0004422253114171326
Echeneus,0.00044019466925722856
suitors of Penelope,0.00043354117328168025
Phemius,0.00043173287745698223
Elpenor,0.0004277630869182758
companion of Odysseus,0.0004258776898495853
herald,0.00042529322672635317
female servants,0.00042352914169896394
Ctesippus,0.00042312961886636913
son of Dolius,0.0004179980169283226
cyclopes,0.00041488362330710515
Helios,0.0004061324871145189
